,0
0,
1,AOK
2,BIP
3,DCTH
4,AROW
5,FTPA
6,SCCO
7,BIPC
8,MYI
9,ISEM
10,MGNI
11,CDR
12,MGA
13,CBX
14,TX
15,VPN
16,OAK$A
17,KMLM
18,CZR
19,KOPN
20,HYMU
21,WANT
22,QELLU
23,CCIV.U
24,XMVM
25,FLQL
26,LVRAU
27,OPRA
28,PFMT
29,NGVC
30,QS.W
31,IMAX
32,PRIF$E
33,DHBCU
34,ERX
35,FUT
36,CHNG
37,IBHA
38,GHG
39,RIOT
40,FF
41,COWN
42,GLD
43,YCS
44,ANGL
45,NBTX
46,ATUS
47,BBCA
48,WALDU
49,ALEX
50,LIVE
51,GDL$C
52,URA
53,MUC
54,ATNI
55,PDEV
56,DMO
57,NMIH
58,ERIC
59,HMTV
60,ABR$C
61,SPUC
62,HIBS
63,CVGI
64,CHIL
65,CWS
66,G
67,PICK
68,JPHY
69,ENVB
70,ECF$A
71,REXR$B
72,NTEST.B
73,JXI
74,RTP.W
75,BCI
76,BIS
77,ADVM
78,PHCF
79,DDIV
80,PANW
81,SBT
82,FRXB.U
83,MBB
84,BFIIW
85,FARO
86,CNVY
87,CTA$A
88,THCX
89,AAC.W
90,GII
91,GHVIU
92,FGF
93,DM
94,IMPX
95,HBANM
96,PMM
97,ROL
98,VWOB
99,AHT$G
100,YUMC
101,DBDR
102,FEDU
103,RYLD
104,FOA
105,WIT
106,BWFG
107,JPM$D
108,ESEA
109,FMIL
110,INVZ
111,HNW
112,TRUE
113,MNRL
114,RING
115,INTG
116,BRY
117,ESI
118,BMBL
119,FACA
120,JILL
121,CHNR
122,HITI
123,EQBK
124,BLL
125,NWFL
126,TRV
127,HEC
128,OSG
129,STRA
130,VGLT
131,TTEK
132,CFR$B
133,IVC
134,VTI
135,IRMD
136,MCRB
137,WVE
138,SDS
139,BOTJ
140,NXQ
141,IBDS
142,USL
143,EDSA
144,LABP
145,USMV
146,LBRT
147,KRON
148,ESNG
149,BW
150,FLTR
151,IBBQ
152,TIP
153,DLN
154,WFC$Y
155,EDTK
156,IGT
157,RETA
158,SNA
159,DILAU
160,ACSI
161,SSTI
162,IPLDP
163,CTAC.U
164,PCOR
165,PFPT
166,BKH
167,SBM
168,AMC
169,PGF
170,AGE
171,PODD
172,KWT
173,NXRT
174,AFIN
175,DMAC
176,PRPC
177,NSH.U
178,VOYA$B
179,BRKS
180,BOWX
181,FCAX.U
182,INTT
183,SDEF
184,BBIG
185,OSMT
186,BRF
187,EVA
188,GEG
189,IVOG
190,GLU
191,ADC
192,FEBZ
193,ARCC
194,AUB
195,TMX
196,PDAC
197,UGP
198,AMK
199,NMS
200,PHT
201,CVEO
202,PQIN
203,SCHK
204,SGMO
205,CCCC
206,SH
207,SLVO
208,GSHD
209,ITI
210,BYTS
211,MBAC.W
212,DFH
213,ATCO$G
214,BIO
215,PBF
216,RODE
217,TSM
218,PUK$
219,JHMI
220,GSMGW
221,LPLA
222,EEMO
223,VOSOW
224,AEIS
225,IBBJ
226,CRWS
227,MCADU
228,FREE
229,ULH
230,CVBF
231,MAG
232,ICD
233,LODE
234,TGH
235,TBCPW
236,TWOU
237,CBD
238,ESG
239,BCYC
240,BIT
241,CTBI
242,THY
243,SCVL
244,HDIV
245,DBAW
246,MDT
247,CALX
248,SPAK
249,EPWR
